[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4435 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.0016 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.1074 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.2393 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.2822 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.3972 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.5125 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.6410 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.7783 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 1.8982 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.0062 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.1186 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.2558 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.3940 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.5188 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.6248 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.7465 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.2073 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.3930 seconds
