[TIMER] ENHSP Planning Time Plan1: Elapsed time: 1.9036 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 5.1564 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 7.4289 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 9.9059 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 12.1878 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 14.2735 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 16.9557 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 19.5034 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 22.1365 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 24.3664 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 26.8962 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 29.1964 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 31.5265 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 33.3287 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 36.0732 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 38.0808 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 39.9573 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 42.1522 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 44.5101 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 46.8652 seconds
