[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.3612 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 0.8897 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 0.9866 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.0773 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.1580 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.2536 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.3369 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.3853 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.4761 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 1.5765 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 1.6705 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 1.7697 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 1.8729 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 1.9663 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.0634 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.1582 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.2694 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 2.3590 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 2.4674 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 2.5624 seconds
