[TIMER] ENHSP Planning Time Plan1: Elapsed time: 5.5012 ± 0.0134
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 8.5908 ± 0.09592
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 10.3294 ± 1.2837
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 11.8241 ± 1.7521
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 11.9495 ± 2.0348
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 13.1682 ± 2.2985
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 15.8895 ± 2.5612
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 18.5207 ± 2.8749
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 20.9124 ± 3.1024
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 22.8916 ± 3.4587
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 24.4928 ± 3.7125
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 24.6034 ± 4.0218
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 26.8167 ± 4.2876
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 29.4001 ± 4.5932
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 30.9586 ± 5.0241
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 32.8098 ± 5.3127
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 34.5593 ± 6.0148
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 35.7922 ± 6.4983
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 35.8997 ± 7.2031
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 38.0720 ± 8.0412

