[TIMER] ENHSP Planning Time Plan1: Elapsed time: $2.3776 \pm 0.7123$
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: $6.1278 \pm 2.0985$
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: $7.5788 \pm 2.4871$
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: $10.6408 \pm 2.9514$
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: $14.1041 \pm 3.1067$
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: $16.1929 \pm 3.5742$
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: $18.4393 \pm 4.0021$
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: $20.5304 \pm 4.4315$
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: $23.4707 \pm 4.8258$
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: $26.1937 \pm 5.2113$
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: $29.1082 \pm 5.6097$
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: $31.9139 \pm 6.0134$
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: $35.1306 \pm 6.4782$
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: $36.9569 \pm 7.0251$
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: $39.2984 \pm 7.4983$
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: $42.0654 \pm 8.0327$
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: $43.8749 \pm 8.5614$
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: $45.9931 \pm 9.0732$
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: $48.2400 \pm 12.5826$
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: $50.6200 \pm 15.0975$
